lang_key,translation_key,translation_text,verified,translated
en,(EXPIRE_IN_(TIMER,Expire In Timer,FALSE,FALSE
en,(FLUID_BALANCE_(24H,Fluid Balance 24H,FALSE,FALSE
en,(HEART_RATE_(BPM,Heart Rate Bpm,FALSE,FALSE
en,(LENGTH_OF_STAY_(DAYS,Length Of Stay Days,FALSE,FALSE
en,ABGS,Abgs,FALSE,FALSE
en,ACCESS_LEVEL,Access Level,FALSE,FALSE
en,ACCESS_ROLES,Access Roles,FALSE,FALSE
en,ACTION,Action,FALSE,FALSE
en,ACTIVE_DRIPS,Active Drips,FALSE,FALSE
en,ACTIVE_PROBLEMS,Active Problems,FALSE,FALSE
en,ADDRESS_INFO,Address Info,FALSE,FALSE
en,ADD_TEMPLATE,Add Template,FALSE,FALSE
en,ADMINISTERED_LOCATION,Administered Location,FALSE,FALSE
en,ADMINISTRATION_REACTIONS,Administration Reactions,FALSE,FALSE
en,ADMISSION_INFORMATION,Admission Information,FALSE,FALSE
en,ADMISSION_NOTES,Admission Notes,FALSE,FALSE
en,ADMISSION_REQUEST_BY/AT,Admission Request By/At,FALSE,FALSE
en,ADMIT_SOURCE,Admit Source,FALSE,FALSE
en,ADVERSE_EFFECT,Adverse Effect,FALSE,FALSE
en,ADVERSE_EFFECTS,Adverse Effects,FALSE,FALSE
en,ALCOHOL,Alcohol,FALSE,FALSE
en,ALLERGY_RISK,Allergy Risk,FALSE,FALSE
en,ALLOWED_PAYMENT_METHODS,Allowed Payment Methods,FALSE,FALSE
en,ALLOW_PARALLEL,Allow Parallel,FALSE,FALSE
en,ALL_FACILITIES,All Facilities,FALSE,FALSE
en,ANESTHESIA,Anesthesia,FALSE,FALSE
en,ANESTHESIA_TYPE,Anesthesia Type,FALSE,FALSE
en,APPLIED_SERVICES,Applied Services,FALSE,FALSE
en,APPLIES_TO,Applies To,FALSE,FALSE
en,APPOINTMENT_CONFIGURATION,Appointment Configuration,FALSE,FALSE
en,APPROVAL_TYPE,Approval Type,FALSE,FALSE
en,APPROVED_CATEGORY,Approved Category,FALSE,FALSE
en,AREA,Area,FALSE,FALSE
en,ARRIVAL_TIME,Arrival Time,FALSE,FALSE
