first_patient_gender,second_patient_gender,first_relation_code,second_relation_code
MALE,MALE,FATHER,SON
MALE,MALE,SON,FATHER
MALE,MALE,GRANDFATHER,GRANDSON
MALE,MALE,GRANDSON,GRANDFATHER
MALE,MALE,BROTHER,BROTHER
MALE,MALE,STEPBROTHER,STEPBROTHER
MALE,MALE,FATHER_IN_LAW,SON_IN_LAW
MALE,MALE,SON_IN_LAW,FATHER_IN_LAW
MALE,MALE,STEPSON,STEPFATHER

FEMALE,MALE,BROTHER,SISTER
FEMALE,MALE,GRANDFATHER,GRANDDAUGHTER

MALE,FEMALE,DAUGHTER,FATHER
MALE,FEMALE,SISTER,BROTHER

FEMALE,MALE,FATHER,DAUGHTER

MALE,FEMALE,GRANDDAUGHTER,GRANDFATHER

FEMALE,MALE,STEPBROTHER,STEPSISTER
MALE,FEMALE,STEPSISTER,STEPBROTHER

MALE,FEMALE,DAUGHTER_IN_LAW,FATHER_IN_LAW
FEMALE,MALE,FATHER_IN_LAW,DAUGHTER_IN_LAW

FEMALE,MALE,SPOUSE,SPOUSE
MALE,FEMALE,SPOUSE,SPOUSE

MALE,FEMALE,STEPDAUGHTER,STEPFATHER
FEMALE,MALE,STEPFATHER,STEPDAUGHTER

FEMALE,FEMALE,DAUGHTER,MOTHER
FEMALE,FEMALE,MOTHER,DAUGHTER

FEMALE,FEMALE,GRANDDAUGHTER,GRANDMOTHER
FEMALE,FEMALE,GRANDMOTHER,GRANDDAUGHTER

FEMALE,FEMALE,SISTER,SISTER
FEMALE,FEMALE,STEPSISTER,STEPSISTER

FEMALE,FEMALE,DAUGHTER_IN_LAW,MOTHER_IN_LAW
FEMALE,FEMALE,MOTHER_IN_LAW,DAUGHTER_IN_LAW

FEMALE,FEMALE,STEPDAUGHTER,STEPMOTHER
FEMALE,FEMALE,STEPMOTHER,STEPDAUGHTER

FEMALE,FEMALE,FRIEND,FRIEND
MALE,FEMALE,FRIEND,FRIEND
MALE,MALE,FRIEND,FRIEND
FEMALE,MALE,FRIEND,FRIEND

FEMALE,MALE,COUSIN,COUSIN
MALE,FEMALE,COUSIN,COUSIN
FEMALE,FEMALE,COUSIN,COUSIN
MALE,MALE,COUSIN,COUSIN

MALE,MALE,STEPFATHER,STEPSON
MALE,FEMALE,MOTHER,SON
FEMALE,FEMALE,MOTHER,DAUGHTER
FEMALE,MALE,SON,MOTHER
MALE,FEMALE,MOTHER_IN_LAW,SON_IN_LAW
FEMALE,MALE,SON_IN_LAW,MOTHER_IN_LAW

